大分類,POIコード,POI,解説,既存コード,既存コード対象,既存コード説明,参照元,日本標準産業分類コード,日本標準産業分類名
宿泊,2312,ペンション,ペンション,,ペンション,,国土交通省　国土数値情報　宿泊容量データ,7521,簡易宿所
宿泊,2313,宿坊,宿坊,,宿坊,,国土交通省　国土数値情報　宿泊容量データ,7521,簡易宿所
宿泊,2314,コテージ・貸別荘,コテージ・貸別荘・山荘,,コテージ・貸別荘・山荘,,国土交通省　国土数値情報　宿泊容量データ,7521,簡易宿所
宿泊,2315,研修センター,研修センター,,研修センター,,国土交通省　国土数値情報　宿泊容量データ,7591,会社・団体の宿泊所
宿泊,2316,保養所,保養所,,,,,7591,会社・団体の宿泊所
宿泊,2317,ペットホテル,ペットホテル,,ペットホテル,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
宿泊,2399,その他宿泊施設,その他宿泊施設,,,,,,
飲食,,,,0503,食・グルメ,食をテーマとした観光利用の拠点。,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,7611,食堂、レストラン
飲食,2401,レストラン,レストラン,5,レストラン,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,,
飲食,2402,和食,和食,6,和食,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,2621,日本料理店
飲食,2403,イタリアン料理,イタリアン料理,7,イタリアン料理,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,7629,その他専門料理店
飲食,2404,フランス料理,フランス料理,8,フランス料理,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,7629,その他専門料理店
飲食,2405,中華料理,中華料理,9,中華料理,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,7623,中華料理店
飲食,2406,居酒屋,居酒屋,10,居酒屋,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,765,酒場、ビヤホール
飲食,2407,ビアガーデン,ビアガーデン,,ビアガーデン,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",765,酒場、ビヤホール
飲食,2408,バー,バー、スナックバー、キャバレー、ナイトクラブ　等,11,バー,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,766,バー、キャバレー、ナイトクラブ
飲食,2409,ラーメン,ラーメン,12,ラーメン,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,7624,ラーメン店
飲食,2410,寿司,寿司,13,寿司,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,764,すし店
飲食,2411,そば,そば,14,そば,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,763,そば・うどん店
飲食,2412,うどん,うどん,15,うどん,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,763,そば・うどん店
飲食,2413,ファーストフード,ファーストフード,16,ファーストフード,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,769,その他の飲食店
飲食,2414,焼肉,焼肉,17,焼肉,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,7625,焼き肉店
飲食,2415,とんかつ,とんかつ,18,とんかつ,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,7629,その他専門料理店
飲食,2416,お好み焼き,お好み焼き,19,お好み焼き,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,7692,お好み焼き、焼きそば、たこ焼き店
飲食,2417,牛丼,牛丼,20,牛丼,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,7629,その他専門料理店
飲食,2418,すき焼き,すき焼き,21,すき焼き,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,7629,その他専門料理店
飲食,2419,しゃぶしゃぶ,しゃぶしゃぶ,22,しゃぶしゃぶ,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,7629,その他専門料理店
飲食,2420,焼き鳥,焼き鳥,23,焼き鳥,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,7629,その他専門料理店
飲食,2421,カレー,カレー,24,カレー,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,7629,その他専門料理店
飲食,2422,喫茶店、カフェ,喫茶店、カフェ,,喫茶店、カフェ,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",767,喫茶店
飲食,,,,,喫茶店、カフェ,,schema.org(2017-11-28),767,喫茶店
飲食,2423,アイスクリーム店,アイスクリーム店,,アイスクリーム店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",5862,菓子小売業（製造小売でないもの）
飲食,,,,,アイスクリーム店,,schema.org(2017-11-28),5862,菓子小売業（製造小売でないもの）
飲食,2424,インターネットカフェ,インターネットカフェ,,インターネットカフェ,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",767,喫茶店
飲食,2499,その他飲食施設,,,,,,,
商業施設（金融）,2501,銀行,信用金庫や協同組合等含む。,3534,銀行,銀行（支店を含む）および信用金庫は記号で表示するただし、規模が大きく特に必要と認められるものは注記で表示する ,国土交通省　都市計画GIS　地物一覧,62,銀行業
商業施設（金融）,2502,両替所,両替所,,銀行・両替,,観光庁　観光立国実現に向けた多言語対応の改善・強化のためのガイドライン,62,銀行業
商業施設（金融）,2503,ATM,ATM,,キャッシュサービス,,観光庁　観光立国実現に向けた多言語対応の改善・強化のためのガイドライン,62,銀行業
商業施設（金融）,2504,消費者金融,消費者金融,,消費者金融,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",6411,消費者向け貸金業
商業施設（金融）,2505,証券,証券,,証券金融業,,,6493,証券金融業
商業施設（金融）,2506,質屋,質屋,,質屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",6098,中古品小売業
商業施設（金融）,,,,,質屋,,schema.org(2017-11-28),,
商業施設（金融）,2507,保険,保険,,保険業,,,67,保険業
商業施設（金融）,2508,協同組合,協同組合,3536,協同組合,協同組合（農業協同組合、漁業協同組合、林業協同組合、酪農協同組合）は、注記で表示することを原則とするが、支所、出張所は記号で表示する ,国土交通省　都市計画GIS　地物一覧,87,協同組合
商業施設（金融）,2599,その他金融関連施設,,,,,,,
商業施設（買物総合）,,,,0599,その他都市型観光（買物・食等）,農水産品等の直売所、物産館等はここに含める。,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
商業施設（買物総合）,2601,百貨店,百貨店,,百貨店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",5611,百貨店、総合スーパー
商業施設（買物総合）,,,,,百貨店,,schema.org(2017-11-28),5611,百貨店、総合スーパー
商業施設（買物総合）,2602,雑貨店,雑貨店,,雑貨屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",5699,その他の各種商品小売業
商業施設（買物総合）,,,,,雑貨屋,,schema.org(2017-11-28),5699,その他の各種商品小売業
商業施設（買物総合）,2603,商業施設,複合商業施設、郊外ショッピングセンター　等。,0501,商業施設,郊外ショッピングセンター、駅前商店街等で日常利用が大半を占めるものは含めない。,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
商業施設（買物総合）,,,,671,商業施設,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
商業施設（買物総合）,2604,ショッピングモール,ショッピングモール,,ショッピングモール,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
商業施設（買物総合）,,,,,ショッピングモール,,schema.org(2017-11-28),,
商業施設（買物総合）,2605,アウトレットモール,アウトレットモール,,,,,,
商業施設（買物総合）,2606,スーパーマーケット,スーパーマーケット,,スーパーマーケット,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",5611,百貨店、総合スーパー
商業施設（買物総合）,,,,,スーパーマーケット,,schema.org(2017-11-28),5611,百貨店、総合スーパー
商業施設（買物総合）,2607,商店街,商店街,0502,地区・商店街,朝市・市場等で日常利用が大半を占めるものは含めない。 ,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
商業施設（買物総合）,2608,日用品店,日用品店,,日用品店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",5699,その他の各種商品小売業
商業施設（買物総合）,,,,,日用品店,,schema.org(2017-11-28),5699,その他の各種商品小売業
商業施設（買物総合）,2609,100円ショップ,100円ショップ,29,100円ショップ,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,5699,その他の各種商品小売業
商業施設（買物総合）,2610,リサイクルショップ,リサイクルショップ、古着屋,,リサイクルショップ、古着屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",6098,中古品小売業
商業施設（買物総合）,,,,,バラエティショップ,100円均一など,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",5699,その他の各種商品小売業
商業施設（買物総合）,2611,ギフトショップ,ギフトショップ,,ギフトショップ,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",6099,他に分類されないその他の小売業
商業施設（買物総合）,2612,レンタルショップ,各種製品のレンタル。自動車、CD等の専門店以外。,,,,,,
商業施設（買物総合）,2613,土産物店,土産物店,,,,,,
商業施設（買物総合）,2614,直売所,農協、漁協、ファーマーズ・フィッシャーマンズワーフ等。,,,,,,
商業施設（買物総合）,2615,青空市場・蚤の市,青空市場・のみの市,,,,,,
商業施設（買物総合）,2699,その他総合買い物施設,,,,,,,
商業施設（食物）,2701,食料品店,食料品店,25,食料品店,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,5811,各種食料品小売業
商業施設（食物）,2702,八百屋,八百屋,,八百屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",582,野菜・果実小売業
商業施設（食物）,2703,精肉店,精肉店,,精肉店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",583,食肉小売業
商業施設（食物）,2704,鮮魚店,鮮魚店,,鮮魚店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",584,鮮魚小売業
商業施設（食物）,2705,つけもの店,漬物屋,,,,,5897,豆腐・かまぼこ等加工食品小売業
商業施設（食物）,2706,お菓子屋,お菓子屋,,菓子屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",5861,菓子小売業
商業施設（食物）,2707,洋菓子屋,洋菓子屋,,,,,,
商業施設（食物）,2708,和菓子屋,和菓子屋,,,,,,
商業施設（食物）,2709,パン屋,パン屋,,パン屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",5863,パン小売業
商業施設（食物）,,,,,パン屋,,schema.org(2017-11-28),5863,パン小売業
商業施設（食物）,2710,コンビニエンスストア,コンビニエンスストア,,コンビニエンスストア,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,5891,コンビニエンスストア
商業施設（食物）,2711,酒屋,酒屋,,酒屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",585,酒小売業
商業施設（食物）,,,,,酒屋,,schema.org(2017-11-28),585,酒小売業
商業施設（食物）,2712,茶葉販売店,茶葉及び茶器類の販売,,お茶店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",5894,茶類小売業
商業施設（食物）,2713,コーヒー店,コーヒー屋,,コーヒー店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",5894,茶類小売業
商業施設（食物）,2714,米屋,米屋,,米屋,,,5896,米殻類小売業
商業施設（食物）,2715,豆腐屋,豆腐屋,,豆腐・かまぼこ等加工食品小売業,,,5897,豆腐・かまぼこ等加工食品小売業
商業施設（食物）,2716,かまぼこ等加工食品小売店,かまぼこ等加工食品小売店,,,,,,
商業施設（食物）,2717,乾物屋,乾物屋,,乾物小売業,,,5898,乾物小売業
商業施設（食物）,2718,チーズ店,チーズ店,,チーズ店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",5899,他に分類されない飲食料品小売業
商業施設（食物）,2719,チョコレート店,チョコレート店,,チョコレート店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",5899,他に分類されない飲食料品小売業
商業施設（食物）,2720,乳製品店,乳製品店,,乳製品店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",5892,牛乳小売業
商業施設（食物）,2721,総菜販売店,総菜販売店,,総菜販売店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",771,持ち帰り飲食サービス
商業施設（食物）,2722,仕出し屋,仕出し屋,,仕出し屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",7721,配達飲食サービス
商業施設（食物）,2723,酒蔵,酒蔵,,酒蔵,,観光庁　観光立国実現に向けた多言語対応の改善・強化のためのガイドライン,1023,清酒製造業
商業施設（食物）,2724,ビール醸造所,ビール醸造所,,ビール醸造所,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",1022,ビール類製造業
商業施設（食物）,,,,,ビール醸造所,,schema.org(2017-11-28),1022,ビール類製造業
商業施設（食物）,2725,ワイナリー,ワイナリー,,ワイナリー,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",1021,果実酒製造業
商業施設（食物）,,,,,ワイナリー,,schema.org(2017-11-28),1021,果実酒製造業
商業施設（食物）,2726,蒸留所,蒸留所,,蒸留酒・混成酒製造業,,,1024,蒸留酒・混成酒製造業
商業施設（食物）,2727,タバコ屋,タバコ屋,,タバコ屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",6092,たばこ・喫煙具専門小売業
商業施設（食物）,2728,野菜等無人販売所,野菜等無人販売所,,,,,,
商業施設（食物）,2799,その他食料品販売店,,,,,,,
商業施設（服飾）,2801,紳士衣料店,紳士衣料店,,衣料品店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",572,男子服小売業
商業施設（服飾）,2802,婦人衣料店,婦人衣料店,,衣料品店,,schema.org(2017-11-28),5731,婦人服小売業
商業施設（服飾）,2803,子供服店,子供服店,,子供服小売業,,,5732,子供服小売業
商業施設（服飾）,2804,仕立屋,仕立屋,,仕立屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
商業施設（服飾）,2805,着物屋,和装店を含む,,呉服・服地小売業,,,5711,呉服・服地小売業
商業施設（服飾）,,,,,着物屋,,,,
商業施設（服飾）,2806,革製品店,革製品店,,革製品店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
商業施設（服飾）,2807,かばん屋,かばん屋,,かばん屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",5791,かばん・袋物小売業
商業施設（服飾）,2808,靴屋,靴屋,,靴屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",574,靴・履物小売業
商業施設（服飾）,,,,,靴屋,,schema.org(2017-11-28),,
商業施設（服飾）,2809,下着屋,下着屋,,下着類小売業,,,5792,下着類小売業
商業施設（服飾）,2810,洋品雑貨屋,洋品雑貨屋,,洋品雑貨,,,5793,洋品雑貨・小間物小売業
商業施設（服飾）,2811,生地屋,生地屋,,生地屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
商業施設（服飾）,2812,裁縫用品店,裁縫用品店,,裁縫用品店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
商業施設（服飾）,2813,衣類等リフィーム店,衣類等リフィーム店,,衣服裁縫修理業,,,793,衣服裁縫修理業
商業施設（服飾）,2814,貸衣装店,レンタルウェア、貸衣装,,,,,7093,貸衣しょう業
商業施設（服飾）,2815,時計屋,時計屋,,時計屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",6082,時計・眼鏡・光学機械小売業
商業施設（服飾）,2816,帽子店,帽子屋,,,,,5793,洋品雑貨・小間物小売業
商業施設（服飾）,2817,眼鏡屋,眼鏡屋,,眼鏡屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",6082,時計・眼鏡・光学機械小売業
商業施設（服飾）,2818,宝飾店,宝飾店、金・貴金属店,,宝飾店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",6095,ジュエリー製品小売業
商業施設（服飾）,,,,,宝飾店,,schema.org(2017-11-28),,
商業施設（服飾）,2819,クリーニング店,クリーニング店,,クリーニング店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",781,洗濯業
商業施設（服飾）,,,,,クリーニング店,,schema.org(2017-11-28),781,洗濯業
商業施設（服飾）,2820,コインランドリー,コインランドリー,,コインランドリー,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",781,洗濯業
商業施設（服飾）,2899,その他服飾関連店,,,,,,,
商業施設（建築）,2901,建設業,建設業,,建設業,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
商業施設（建築）,2902,工務店,工務店,,工務店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
商業施設（建築）,,,,,工務店,,schema.org(2017-11-28),,
商業施設（建築）,2903,建築設計事務所,建築設計事務所,,,,,7421,建築設計業
商業施設（建築）,2904,造園店,造園店,,造園店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
商業施設（建築）,,,,,造園店,,schema.org(2017-11-28),,
商業施設（建築）,2905,電気工事店,電気工事店,,電気工事店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
商業施設（建築）,,,,,電気工事店,,schema.org(2017-11-28),,
商業施設（建築）,2906,ガラス屋,ガラス屋,,ガラス屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
商業施設（建築）,2907,アルミサッシ店,アルミサッシ店,,,,,0792,金属製建具工事業
商業施設（建築）,2908,カギ屋,カギ屋,,鍵屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
商業施設（建築）,,,,,鍵屋,,schema.org(2017-11-28),,
商業施設（建築）,2909,塗装屋,塗装屋,,塗装屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
商業施設（建築）,2910,塗料店,塗料店,,塗料店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
商業施設（建築）,,,,,塗料店,,schema.org(2017-11-28),,
商業施設（建築）,2911,左官屋,左官屋,,左官屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
商業施設（建築）,2912,配管設備店,配管設備店,,配管屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
商業施設（建築）,2913,照明設備店,照明設備店,,照明店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
商業施設（建築）,2914,空調設備店,空調設備店,,空調屋,,schema.org(2017-11-28),,
商業施設（建築）,,,,,空調屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
商業施設（建築）,2915,不動産屋,不動産屋,,不動産屋,,schema.org(2017-11-28),68,不動産取引業
商業施設（建築）,2999,その他建築関連店,,,,,,,
商業施設（家財、内装）,3001,家具屋,家具屋,,家具屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",6011,家具小売業
商業施設（家財、内装）,,,,,家具屋,,schema.org(2017-11-28),,
商業施設（家財、内装）,3002,建具屋,建具屋,,建具小売業,,,6012,建具小売業
商業施設（家財、内装）,3003,畳屋,畳屋,,畳小売業,,,6013,畳小売業
商業施設（家財、内装）,3004,寝具店,寝具店,,寝具店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",5712,寝具小売業
商業施設（家財、内装）,3005,カーテン店,カーテン店,,カーテン店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",5712,寝具小売業
商業施設（家財、内装）,3006,絨毯屋,絨毯屋,,絨毯屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",5712,寝具小売業
商業施設（家財、内装）,3099,その他家財、内装店,,,,,,,
商業施設（生活）,3101,赤ちゃん用品店,赤ちゃん用品店,,赤ちゃん用品,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
商業施設（生活）,3102,床屋,床屋,,床屋、美容院,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",782,理容業
商業施設（生活）,3103,美容院,美容院,,床屋、美容院,,schema.org(2017-11-28),783,美容業
商業施設（生活）,3104,ビューティーサロン,ビューティーサロン,,ビューティーサロン,,schema.org(2017-11-28),7892,エステティック業
商業施設（生活）,3105,マッサージ、整体店,マッサージ、整体店,,マッサージ、整体,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",7893,リラクゼーション業
商業施設（生活）,3106,ネイルサービス,ネイルサービス,,ネイルサービス業,,,7894,ネイルサービス業
商業施設（生活）,3107,化粧品店,化粧品店,,化粧品店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",6034,化粧品小売業
商業施設（生活）,3108,香水店,香水店,,香水店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
商業施設（生活）,3109,花屋,花屋,,花屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",6093,花・植木小売業
商業施設（生活）,,,,,花屋,,schema.org(2017-11-28),,
商業施設（生活）,3110,金物屋,金物屋,,金物屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",6021,金物小売業
商業施設（生活）,3111,陶磁器・ガラス器店,陶磁器・ガラス器店,,陶磁器・ガラス器小売業,,,6023,陶磁器・ガラス器小売業
商業施設（生活）,3112,キッチン用品店,キッチン用品店,,キッチン用品店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
商業施設（生活）,3113,風呂用品店,風呂用品店,,風呂用品店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
商業施設（生活）,3114,防犯・安全用品店,防犯・安全用品店,,防犯・安全用品店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
商業施設（生活）,3115,電器店,電器店,,電器屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",5931,電気機械器具小売業
商業施設（生活）,,,,,電器屋,,schema.org(2017-11-28),,
商業施設（生活）,3116,パソコン店,パソコン店,,パソコン店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
商業施設（生活）,,,,,パソコン店,,schema.org(2017-11-28),,
商業施設（生活）,,,,,携帯電話屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
商業施設（生活）,,,,,携帯電話屋,,schema.org(2017-11-28),,
商業施設（生活）,,,,,日曜大工店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
商業施設（生活）,3117,携帯電話店,携帯電話店,,,,,5931,電気機械器具小売業
商業施設（生活）,3118,ホームセンター,ホームセンター,,ホームセンター,,,6091,ホームセンター
商業施設（生活）,,,,,建築資材店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",6094,建築材料小売業
商業施設（生活）,3119,刃物店,ナイフ、包丁等を小売りする,,,,,6021,金物小売業 
商業施設（生活）,3120,旅行代理店,旅行代理店,,旅行代理店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",791,旅行業
商業施設（生活）,,,,,旅行代理店,,schema.org(2017-11-28),791,旅行業
商業施設（生活）,3121,チケットオフィス,チケットオフィス,,チケットオフィス,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",7999,他に分類されないその他の生活関連サービス業
商業施設（生活）,3122,宝くじ屋,宝くじ屋,,宝くじ屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",7999,他に分類されないその他の生活関連サービス業
商業施設（生活）,3123,新聞販売店,新聞販売店,,新聞販売店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",6063,新聞小売業
商業施設（生活）,3124,文房具店,文房具店,,文房具屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",6064,紙・文房具小売業
商業施設（生活）,3125,引越屋,引越屋,,引越屋,,schema.org(2017-11-28),,
商業施設（生活）,3199,その他生活関連店,,,,,,,
商業施設（エネルギー）,3201,燃料販売店,主として灯油，プロパンガス，石炭，まきなどの燃料を小売する事業所,,燃料販売店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",6052,燃料小売業
商業施設（エネルギー）,3202,ガソリンスタンド,ガソリンスタンド,3560,ガソリンスタンド,ガソリンスタンド（ガススタンド等を含む）は、すべて記号で 表示する,国土交通省　都市計画GIS　地物一覧,6051,ガソリンスタンド
商業施設（エネルギー）,3203,電気自動車の充電施設,電気自動車の充電施設,,電気自動車の充電施設,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,,
商業施設（エネルギー）,3204,水素充填ステーション,水素充填ステーション,,水素充填ステーション,,,,
商業施設（エネルギー）,3299,その他エネルギー販売店,,,,,,,
商業施設（移動）,3301,自動車販売店,中古含む,,カーディーラー,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",591,自動車小売業
商業施設（移動）,,,,,カーディーラー,,schema.org(2017-11-28),591,自動車小売業
商業施設（移動）,3302,自動車修理屋,自動車修理屋,,自動車修理屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",891,自動車整備業
商業施設（移動）,,,,,自動車修理屋,,schema.org(2017-11-28),891,自動車整備業
商業施設（移動）,3303,自動車用品店,自動車用品店,,自動車用品店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",5913,自動車部分品・附属品小売業
商業施設（移動）,,,,,自動車用品店,,schema.org(2017-11-28),5913,自動車部分品・附属品小売業
商業施設（移動）,3304,洗車場,洗車場,,洗車場,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",8919,その他の自動車整備業
商業施設（移動）,,,,,洗車場,,schema.org(2017-11-28),,
商業施設（移動）,3305,バイク店,中古含む,,バイク屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",5914,二輪自動車小売業
商業施設（移動）,,,,,バイク屋,,schema.org(2017-11-28),5914,二輪自動車小売業
商業施設（移動）,3306,自転車屋,自転車屋,,自転車屋,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",592,自転車小売業
商業施設（移動）,3399,その他移動関連店,,,,,,,
商業施設（趣味）,3401,アウトドア用品店,アウトドア用品店,,アウトドア用品店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",6071,スポーツ用品小売業
商業施設（趣味）,3402,釣具店,釣具店,,釣具店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",6071,スポーツ用品小売業
商業施設（趣味）,3403,船具店,船舶・ヨット・ボート用品、漁網、漁具などを小売,,,,,,
商業施設（趣味）,3404,狩猟用品店,狩猟用品店,,狩猟用品店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",6071,スポーツ用品小売業
商業施設（趣味）,3405,ダイビングショップ,ダイビングショップ,,ダイビングショップ,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",6071,スポーツ用品小売業
商業施設（趣味）,3406,スキー用品店,スキー用品店,,スキー用品店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",6071,スポーツ用品小売業
商業施設（趣味）,3407,スポーツ用品店,スポーツ用品店,,スポーツ用品店,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",6071,スポーツ用品小売業
商業施設（趣味）,,,,,スポーツ用品店,,schema.org(2017-11-28),,
商業施設（趣味）,3408,カメラ屋,カメラ屋・写真館,,カメラ屋・写真館,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",6081,写真機・写真材料小売業
商業施設（趣味）,3409,アンティークショップ,アンティークショップ,,アンティークショップ,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",6097,骨とう品小売業
商業施設（趣味）,3410,美術品店,画廊等,,美術品店,画廊等,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",6099,他に分類されないその他の小売業
商業施設（趣味）,,,,,美術品店,,schema.org(2017-11-28),,
商業施設（趣味）,3411,コレクターショップ,切手、コイン等,,コレクターショップ,切手、コイン等,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",6099,他に分類されないその他の小売業
